--- K4_Count ---
0	7073102
1	12174909
2	18691715
3	21727125
4	23100327
5	21753281
6	20739842
7	18744205
8	17089092
9	14892178
10	13264832
11	11576986
12	10210178
13	8876673
14	7693758
15	6656558
16	5737632
17	4971823
18	4284651
19	3674196
20	3232907
21	2775803
22	2428517
23	2058072
24	1797955
25	1559378
26	1347427
27	1184481
28	1010554
29	888260
30	774864
31	672209
32	589983
33	506364
34	447319
35	391174
36	341711
37	301212
38	261553
39	229219
40	203648
41	179781
42	154967
43	136999
44	120661
45	107528
46	94599
47	86069
48	73739
49	64775
50	60607
51	52274
52	44897
53	41723
54	35547
55	30710
56	30444
57	26639
58	20626
59	22688
60	18232
61	15646
62	16062
63	12782
64	10971
65	11545
66	9788
67	8487
68	7979
69	6971
70	5722
71	6049
72	4866
73	4645
74	4017
75	4213
76	3516
77	3239
78	2716
79	2642
80	2363
81	2004
82	2126
83	1672
84	1246
85	1837
86	1291
87	1145
88	1125
89	1036
90	730
91	1122
92	812
93	551
94	693
95	734
96	490
97	540
98	466
99	355
100	326
101	509
102	250
103	286
104	271
105	328
106	191
107	286
108	192
109	123
110	223
111	203
112	111
113	150
114	102
115	130
116	134
117	152
118	38
119	81
120	96
121	81
122	78
123	44
124	21
125	107
126	89
127	46
128	28
129	38
130	49
131	56
132	27
133	15
134	10
135	59
136	41
137	29
138	8
139	13
140	40
141	27
142	18
143	4
144	11
145	40
146	17
147	14
148	5
149	6
150	21
151	13
152	1
153	2
154	4
155	23
156	14
157	3
159	8
160	12
161	8
162	10
163	1
164	1
165	14
166	7
167	2
168	1
169	1
170	5
171	6
172	1
173	2
174	2
175	8
176	1
177	1
179	1
180	3
181	5
182	3
183	2
184	1
185	4
186	2
187	1
189	1
190	3
191	1
192	3
196	4
198	1
199	1
202	2
205	2
206	1
210	1
211	2
212	1
214	1
217	3
220	1
225	1
230	1
232	1
238	2
245	1
259	1
266	1
294	1
330	1
