--- Acyclic_Orientations ---
7776	8
11664	128
15552	82
16848	21
17496	707
19440	18
20412	18
20736	32
21384	5
21870	2
22356	1
23328	882
25272	522
25920	78
26136	8
26244	1879
27216	78
27864	20
28512	18
29160	339
30132	69
30456	6
30618	82
31104	835
31428	5
31752	8
32076	54
32400	2
32562	9
32724	1
33048	12
33210	1
33372	2
33534	1
33696	442
34560	33
34992	3634
35478	1
35640	273
36288	46
36504	48
36936	1
37152	41
37584	17
37908	3276
38880	1108
39096	23
39204	123
39312	16
39348	2
39366	2171
39744	20
40176	28
40824	789
41472	455
41796	562
42120	46
42768	475
43092	158
43416	67
43524	9
43632	5
43740	1098
44064	311
44226	27
44388	39
44496	5
44712	10
44820	9
44928	178
45036	5
45198	416
45360	61
45684	86
45792	24
45846	9
45900	1
46008	35
46116	5
46224	8
46332	7
46548	5
46656	5480
46818	2
46872	5
46980	9
47142	77
47304	16
47520	123
47628	119
47790	17
47952	18
48006	1
48060	1
48114	12
48276	9
48384	43
48438	9
48492	1
48600	26
48654	1
48708	1
48924	15
49086	1
49140	1
49248	7
49302	1
49356	2
49464	52
49518	1
49572	38
49680	1
49734	1
49788	1
50058	18
50112	1
50328	61
50544	5980
50706	2
50868	1
50976	51
51030	1
51516	16
51678	1
51840	1258
52164	3
52272	110
52326	1
52416	8
52488	5878
52650	2
52812	4
53136	10
53460	3087
53622	2
53784	1
54108	1
54432	1310
54756	1452
55296	130
55728	1626
56160	332
56376	354
56484	151
56592	8
56628	18
56736	11
56862	6868
57024	519
57456	155
57600	12
57672	15
57888	37
58032	12
58320	4346
58356	3
58644	936
58752	173
58806	462
58968	366
59022	17
59040	2
59046	1
59184	23
59616	932
59940	150
60264	485
60372	171
60480	54
60696	12
60912	324
60948	6
61128	4
61236	1996
61344	254
61560	9
61668	194
61776	70
62100	18
62208	5897
62244	9
62352	9
62370	7
62424	26
62532	7
62640	187
62694	2319
62856	182
63072	49
63180	763
63216	9
63396	26
63504	138
63540	6
63648	14
63720	7
63828	7
63936	92
63972	9
64152	1820
64260	9
64368	25
64476	2
64584	14
64638	1301
64800	200
64944	9
64962	1
65124	410
65232	16
65286	313
65340	5
65376	9
65448	74
65502	18
65556	23
65574	1
65592	1
65664	57
65700	6
65772	51
65880	11
65988	22
66096	3510
66150	4
66240	5
66312	16
66528	16
66582	274
66672	9
66744	130
66852	14
66960	31
67068	130
67230	199
67284	18
67392	6598
67428	5
67446	20
67554	60
67608	30
67662	10
67680	1
67716	15
67734	1
67752	1
67878	18
67932	1
68040	492
68094	21
68148	5
68166	1
68256	24
68364	65
68382	1
68400	1
68472	20
68526	18
68688	648
68742	4
68796	16
68958	2
69012	408
69120	826
69174	88
69228	2
69336	143
69444	2
69552	83
69606	5
69660	21
69696	44
69768	17
69822	89
69840	6
69876	1
69912	1
69984	12289
70038	19
70092	4
70146	20
70200	22
70308	81
70416	16
70470	191
70488	1
70524	3
70542	1
70614	1
70632	16
70686	18
70740	9
70848	3
70902	18
70956	219
70974	1
71010	2
71064	17
71118	42
71136	1
71190	2
71208	1
71262	1
71280	4421
71316	1
71334	10
71352	1
71424	1
71604	57
71640	1
71658	1
71712	13
71766	3
71820	1
71838	1
71928	68
72036	9
72054	1
72072	1
72180	1
72198	5
72216	1
72252	66
72342	1
72360	9
72414	2
72468	6
72486	1
72576	2675
72612	1
72630	2
72684	4
72702	1
72792	2
72900	19
72936	1
72990	1
73008	1735
73044	1
73062	76
73080	1
73116	2
73152	1
73224	28
73278	2
73368	1
73422	1
73440	38
73548	41
73584	1
73602	1
73710	38
73764	1
73800	1
73818	2
73872	161
73926	8
73980	4
74088	2
74196	1177
74250	1
74304	1303
74412	2
74520	32
74574	6
74628	4
74736	328
74790	3
74844	2
74880	184
74952	2
75006	22
75060	3
75168	450
75222	1
75276	4
75312	72
75384	7
75438	2
75456	18
75492	1912
75600	5
75654	10
75816	19685
75870	5
76032	331
76086	1
76140	19
76248	2
76356	3
76464	1914
76518	5
76572	4
76608	50
76680	2
76734	3
76752	11
76788	1
76896	43
77004	2
77112	140
77166	4
77184	7
77220	1369
77328	14
77382	3
77436	1
77544	2
77760	8440
77814	1
77868	5
77976	5
78030	1
78084	1
78192	1039
78300	3
78408	861
78462	3
78624	779
78678	2
78696	13
78720	1
78840	4
78948	223
79056	10
79092	93
79110	1
79164	1
79200	78
79272	4
79326	3
79380	1
79488	1012
79524	25
79668	30
79704	283
79776	6
79812	1
79866	1
79920	696
80028	6
80136	2
80190	9093
80244	1
80352	380
80496	216
80514	1
80568	1
80676	113
80784	4
81000	25
81072	37
81108	314
81216	435
81252	32
81396	19
81432	49
