--- Triangle_Count ---
5	23
6	245
7	1229
8	4270
9	10828
10	22593
11	39170
12	60667
13	83827
14	108420
15	130175
16	149735
17	163546
18	173815
19	177449
20	178045
21	173017
22	166478
23	155704
24	145200
25	131811
26	119851
27	106469
28	94777
29	82805
30	72474
31	62227
32	54119
33	45774
34	39185
35	33053
36	28162
37	23302
38	19739
39	16386
40	13865
41	11316
42	9432
43	7789
44	6535
45	5361
46	4421
47	3564
48	3060
49	2440
50	2070
51	1638
52	1405
53	1101
54	963
55	751
56	650
57	516
58	426
59	364
60	298
61	241
62	205
63	164
64	141
65	123
66	99
67	71
68	74
69	53
70	53
71	34
72	39
73	25
74	26
75	18
76	18
77	14
78	13
79	10
80	13
81	6
82	4
83	6
84	5
85	5
86	5
87	3
88	1
89	1
90	4
91	2
92	3
94	1
96	1
97	1
98	2
99	1
104	1
105	1
112	1
120	1
