--- Wiener_Index ---
45	1
46	1
47	2
48	5
49	11
50	26
51	66
52	165
53	423
54	1085
55	2712
56	6555
57	15066
58	32315
59	63904
60	115020
61	185912
62	266546
63	335352
64	368212
65	354932
66	307162
67	246772
68	189129
69	140017
70	100430
71	70140
72	48214
73	32796
74	22060
75	14920
76	10106
77	6923
78	4784
79	3321
80	2327
81	1656
82	1196
83	895
84	673
85	520
86	385
87	289
88	215
89	187
90	147
91	118
92	85
93	53
94	39
95	46
96	36
97	23
98	8
99	9
100	8
101	7
102	3
103	5
104	3
105	1
106	1
107	2
108	1
111	1
