--- Determinant_Adj ---
-192	2
-144	15
-132	5
-128	9
-125	4
-117	2
-112	14
-109	5
-105	4
-100	51
-97	7
-96	28
-93	20
-92	4
-89	8
-88	8
-85	36
-84	51
-81	96
-80	90
-77	31
-76	49
-73	80
-72	90
-69	105
-68	136
-65	99
-64	559
-61	191
-60	211
-57	270
-56	205
-53	299
-52	613
-49	946
-48	914
-45	870
-44	683
-41	1023
-40	1032
-37	1438
-36	4608
-33	2135
-32	3529
-29	2952
-28	3016
-25	6789
-24	4692
-21	6788
-20	10982
-17	10801
-16	26735
-13	16843
-12	19829
-9	49149
-8	38545
-5	68407
-4	145099
-1	240407
0	828980
3	265704
4	241946
7	145046
8	124277
11	86677
12	122374
15	58819
16	87483
19	39590
20	35674
23	27565
24	25853
27	25580
28	27858
31	14525
32	21023
35	10789
36	14220
39	8288
40	7108
43	5813
44	9545
47	4449
48	8136
51	3756
52	3028
55	2437
56	2640
59	2339
60	3091
63	1778
64	3168
67	1133
68	1206
71	930
72	1074
75	1040
76	1116
79	431
80	1061
83	551
84	449
87	252
88	226
91	287
92	399
95	122
96	394
99	346
100	131
103	62
104	152
107	145
108	363
111	34
112	135
115	67
116	46
119	26
120	6
123	48
124	82
128	127
131	69
132	23
140	65
144	76
147	48
155	16
156	15
171	17
176	38
192	25
204	5
240	8
243	3
256	7
